ID;Sinônimo
54;Bainha muscular de vaso, anticorpos anti
54;Matrix extra celular entre túbulos, anticorpos
54;Mesângio glomerular (glomérulo), anticorpos contra
54;Muscular mucosa, anticorpo contra
54;Anti glomerulo, anticopos
54;ANTICORPOS ANTI MUSCULO LISO
55;ANTI-OVARIO, PESQUISA DE ANTICORPOS
55;ANTICORPOS ANTI-OVARIO, PESQUISA DE
55;OVARIO, ANTICORPOS IGG
55;OVARY ANTIBODIES, IGG
55;Ovário, Anticorpos
56;ERITEMA INFECCIOSO, ANTI PARVOVIRUS
56;PARVOVIRUS B19 IGG E IGM, ANTICORPOS ANTI
56;PARVOVIRUS B19, ANTICORPOS ANTI
56;Parvovírus B19, Anticorpos IgG e IgM
56;Eritrovírus B19, Anticorpos IgG e IgM
56;Quinta moléstia exantemática
56;Sorologia para Parvovírus B19
56;Sorologia para Eritrovírus B19
57;PLAQUETAS, ANTICORPOS ANTI
57;Plaquetas, Anticorpos
57;Anticorpos antiplaquetas
58;ANTI-PM1, PESQUISA DE ANTICORPOS
58;ANTIBODY TO PM1
58;ANTICORPO ASSOCIADO A POLIMIOSITE
58;ANTICORPOS ANTI-PM1, PESQUISA DE
58;PM - SCL
58;PM1, ANTI
58;PM/SCL, Anticorpos
58;PM/Scl, Anticorpos totais no soro
58;Anticorpos PM SCL
59;ANTI-PNEUMOCOCOS, ANTICORPOS
59;ANTICORPOS ANTI-PNEUMOCOCOS
59;PNEUMOCOCCAL, IGG
59;PNEUMOCOCOS, POLISSACARIDES, ANTICORPOS
59;PNEUMOCOCOS, SOROLOGIA
59;Pneumococos, Anticorpos
59;Pesquisa de anticorpos especifico polissacarides da membrana de pneumococos
59;Streptococcus pneumoniae, anticorpos no soro
60;POLIOMIELITE, SOROLOGIA P/
60;SOROLOGIA PARA POLIOMIELITE
60;VIRUS DA POLIO, PESQ ANTIC NEUTRALIZANTES ANTI
60;Sorologia para poliovírus
60;POLIO 1  3, ANTICORPOS ANTI
62;H. PYLORI, ANTICORPOS, PESQUISA DE
62;HELICOBACTER PYLORI, SOROLOGIA, QUANTITATIVA
62;PYLORI, SOROLOGIA PARA HELICOBACTER
62;SOROLOGIA PARA HELICOBACTER PYLORI
65;ANTICORPOS ANTI-RNP, para regionais
65;ESCLERODERMA, ANTI RNP
65;LÚPUS, ANTI RNP
65;MISTA DO TECIDO CONJUNTIVO, DOENÇA, ANTI RNP
65;SJOGREN, ANTI RNP
65;U1-RNP
65;anti-RNP, para regionais
66;Anticorpos anti-Ro
66;Anticorpos anti-SS-A
66;Anti-Ro no soro
66;Anti-SS-A
66;SSA
67;Anticorpos anti-La e anti-Ro
67;Anticorpos anti La e anti Ro
67;Anticorpos anti-SSA e anti-SSB
67;Anticorpos anti SSA e anti SSB
67;Anti-La
67;Anti La
67;Anti-Ro
67;Anti Ro
67;Anti-SSA
67;Anti SSA
67;Anti-SSB
67;Anti SSB
67;Sjogren, anticorpos para
68;ANTI-SCL-70
68;DNA TOPOISOMERASE I
68;ESCLERODERMA, ANTI-SCL 70
68;ESCLERODERMA, DIAGNOSTICO
68;ESCLEROSE SISTEMICA PROGRESSIVA, DIAGNOSTICO
68;ESCLEROSE SISTEMICA PROGRESSIVA, VER ESCLERODERMA
68;SCL 70, ANTI
68;SCL1, ANTI
68;TOPOISOMERASE I, DNA
69;ANTICORPOS ANTI-SM, para regionais
69;LÚPUS, ANTICORPOS ANTI SM, para regionais
69;Antígeno Smith, para regionais
69;anti-SM, para regionais
70;ANTICORPOS ANTI-TIROIDE (P/DOSAGEM DE TG)
72;HASHIMOTO, TIREOIDITE, ANTICORPOS ANTI TIROIDE
72;HASHIMOTO, TIROIDITE DE
72;TIROGLOBULINA, ANTICORPOS ANTI, AATIRO
72;TIROIDE DE HASHIMOTO, SOROTIPAGEM P/
72;TIROIDE, ANTICORPOS ANTI
72;TIROIDITE, ANTICORPOS ANTI TIROIDE
72;Tiróide, Anticorpos
72;Anticorpos anti-TG
72;Anticorpos antitiróide
72;Anticorpos antitiroglobulina
72;Anti tireoglobulina
72;TIREOIDE, ANTICORPOS ANTI
73;DETERMINACAO DE ANTICORPOS ANTI-TIROPEROXIDASE
73;FRACAO MICROSSOMAL, ANTICORPOS ANTI
73;MICROSSOMAL, FRACAO, ANTICORPOS
73;PEROXIDASE TIROIDIANA, ANTICORPOS ANTI
73;TPO, ANTICORPOS ANTI
73;ANTICORPO ANTI PEROXIDASE
73;ANTICORPO ANTI TPO
73;ANTICORPO ANTI TIROPEROXIDASE
73;ANTICORPO ANTI MICROSSOMAL
75;ANEMIA PERNICIOSA, ANTIC BLOQU FATOR INTRINSECO
75;FATOR INTRINSECO NO SANGUE
75;INTRINSECO, FATOR, ANTICORPOS BLOQUEADORES
75;Fator Intrínseco, Anticorpos Bloqueadores
77;DISSACARIDES, TESTE P/ DEFICIT DE
77;LACTOSE, PROVA DE ABSORCAO DA
77;LACTOSE, TESTE DE TOLERANCIA A
77;LACTOSE, TESTE P/ DEFICIT DE
77;PROVA DE ABSORCAO DA LACTOSE
77;Lactose, Prova de Absorção
77;PROVA DE SOBRECARGA DE LACTOSE
77;TESTE ORAL DE TOLERANCIA A LACTOSE
77;TESTE ORAL DE INTOLERANCIA A LACTOSE
77;PROVA DE TOLERANCIA A LACTOSE
77;PROVA DE INTOLERANCIA A LACTOSE
77;TESTE DE INTOLERANCIA A LACTOSE
78;DISSACARIDASE, PROVA DE DEFICIT DE
78;PROVA DE ABSORCAO DA SACAROSE
78;SACAROSE, PROVA DE TOLERANCIA
78;Sacarose, Prova de Absorção
80;D XILOSE, PROVA DE ABSORCAO DE
80;PROVA DE ABSORCAO DA D-XILOSE
80;XILOSE, PROVA DE ABSORCAO DA D-
80;XILOSEMIA, PROVA DE ABSORCAO DE D XILOSE
80;D-Xilose, Prova de Absorção no plasma
80;TESTE DE D XILOSE, SANGUE
83;Ácido ascórbico, pesquisa e dosagem no sangue
83;Vitamina C, pesquisa e dosagem no sangue
83;Ascorbato, dosagem no sangue
83;VITAMINA C
83;DOSAGEM DE VITAMINA C, SANGUE
83;DOSAGEM DE ACIDO ASCORBICO, SANGUE
83;ESCORBUTO, FATOR DE PROTECAO
84;ACIDOS BILIARES TOTAIS NO SANGUE
84;BILE ACIDS, TOTAL
84;BILIAR, ACIDOS TOTAIS NO SANGUE
84;Ácidos Biliares Totais, dosagem
84;Sais biliares, no sangue
86;Ácido Hipúrico, pesquisa e dosagem na urina
90;ANTI-AG CENTRAL DA HEPATITE B TIPO IGG
90;ANTI-C
90;ANTI-CORE C/PESQUISA DE IGG
90;ANTI-HBC + IGG
90;ANTICORPO CONTRA ANTIGENO CENTRAL DA HEPATITE B
90;ANTIGENO CENTRAL IGG, ANTICORPOS ANTI
90;CORE IGG, ANTI
90;HBC IGG, ANTIC ANTI ANTIGENO CENTRAL HEPATITE B
90;HEPATITE B, ANTICORPOS ANTI ANTIGENO CENTRAL IGG
90;Hepatite B, IgG, anti-Core
90;AC HBC
90;AC HBC AG
90;ANTI C
90;ANTI CORE
90;ANTI CORE IGG
90;ANTI HBC
90;ANTI HBC TOTAL
90;ANTICORPOS ANTI ANTIGENO CENTRAL IGG
91;ANTI-CORE C/PESQUISA DE IGM
91;ANTI-HBC + IGM
91;ANTIGENO CENTRAL IGM, ANTICORPOS ANTI
91;CORE IGM, ANTICORPOS ANTI
91;HBC IGM, ANTIC ANTI ANTIGENO CENTRAL HEPATITE B
91;HEPATITE B, ANTIC ANTI ANTIGENO CENTRAL IGM
91;IGM ANTI NUCLEO VIRUS B DA HEPATITE
91;Hepatite B, IgM, anti-Core
91;ANTI CORE IGM
91;ANTI HBC IGM
91;ANTICORPOS ANTI ANTIGENO CENTRAL IGM
93;ACIDOS ORGANICOS URINA
93;ORGANICOS, ACIDOS, NA URINA
93;ORGANO ACIDOS URINARIOS
93;Ácidos Orgânicos na urina
93;Cromatografia de ácidos orgânicos na urina
93;Painel ampliado para ácidos orgânicos na urina
94;OROTICO, ACIDO
94;OROTICO, ACIDO, NA URINA
94;Ácido Orótico na urina
96;ACTH PLASMATICO, DOSAGEM DE
96;ADRENAL, DOSAGEM DE ACTH PLASMATICO
96;ADRENOCORTICOTROFICO, HORMONIO
96;CORTICOTROFINA
96;CUSHING, DOSAGEM DE ACTH PLASMATICO
96;HORMONIO ADRENO CORTICOTROFICO
96;ACTH, plasmático
97;GOTA, ACIDO URICO
97;HIPERURICEMIA, ACIDO URICO
97;URICEMIA
97;URICO, ACIDO
97;Ácido Úrico no soro
99;CALCULO RENAL, ACIDO URICO NA URINA
99;URICO, ACIDO, NA URINA
99;URICOSURIA
99;Ácido Úrico na urina
101;Valproato de sódio, pesquisa e dosagem no sangue
101;Ácido valpróico, pesquisa e dosagem no sangue
101;Divalproato de sódio, pesquisa e dosagem no sangue
101;Ácido dipropilacético, pesquisa e dosagem no sangue
101;Dipropilacetato, pesquisa e dosagem no sangue
101;Depakene, pesquisa e dosagem no sangue
101;Depakote, pesquisa e dosagem
101;Depakene®
101;Depakote ER®
101;Epilenil®
101;Torval CR®
101;Valpakine®
102;TUBERCULOSE, ADA
102;Adenosina Deaminase
102;ADA no sangue
102;Adenosina Deaminase no sangue
105;SOROLOGIA PARA ADENOVIRUS
106;ANGIO VASOPRESSINA
106;ANTI-DIURETICO, HORMONIO
106;HORMONIO ANTI DIURETICO
106;VASOPRESSINA, ARGININA
106;HAD (hormônio antidiurético)
109;ALFA GALACTOSIDASE SERICA
109;FABRY, DOENCA DE
109;GALACTOSIDASE, ALFA
109;GALACTOSIDASE, ATIVIDADE DA
109;Alfa-Galactosidase
111;Alfa-1 Antitripsina, Fenotipagem
111;Fenotipagem de alfa-1 antitripsina
112;ANTITRIPSINA, ALFA 1, NAS FEZES
112;FEZES, PROTEINAS (PERDA PROTEICA)
112;PROTEINAS NAS FEZES, PERDA
112;ENTEROPATIA COM PERDA PROTEICA
117;ACIDOS GRAXOS NAO ESTERIFICADOS
117;DIABETES MELLITUS, ACIDOS GRAXOS LIVRES TOTAIS
117;GRAXOS, ACIDOS LIVRES TOTAIS
117;Ácidos Graxos Livres Totais
118;AGLUTININAS IRREGULARES
118;ANTICORPOS ATIPICOS
118;ANTICORPOS ISOIMUNES
118;COOMBS INDIRETO (CI) QUANTITATIVO
118;D, ANTICORPOS ANTI
118;ERITROCITARIOS, ANTICORPOS ANTI
118;INCOMPATIBILIDADE DE RH, TESTE DE
118;IRREGULARES, ANTICORPOS, AGLUTININAS ANTI-RH
118;Aglutninas anti-Rh
118;Teste de antiglobulina indireto (eritrócitos)
118;IAT (indirect antiglobulin test)
118;Aglutininas anti-Rh, quantitativo
118;Anticorpos heterólogos
118;Anticorpos irregulares
118;COOMBS INDIRETO
119;AGREGACAO PLAQUETARIA, TESTES PARA AVALIACAO DA
119;Curva de Agregação Plaquetária
119;Provas da função plaquetária
119;Agregação Plaquetária, Avaliação
119;Agregação plaquetária com ADP, adrenalina (epinefrina), colágeno e ristocetina
119;Agregação plaquetária com ácido aracdônico
119;RIPA, agregação plaquetária induzida pela ristocetina
124;AGULHAMENTO POR ESTEREOTAXIA
124;AGULHAMENTO POR MAMOGRAFIA
124;ESTEREOTAXIA
124;AGULHAMENTO POR ULTRA-SONOGRAFIA
125;ANTI-HAV TOTAL
125;PESQUISA DE ANTICORPOS TOTAIS CONTRA O VÍRUS DA HEPATITE A
125;HEPATITE A, ANTICORPOS TOTAIS
125;A, ANTICORPOS TOTAIS ANTI VÍRUS DA HEPATITE
125;Anticorpos totais contra o vírus A da hepatite
125;ANTI HAV IGG
125;ANTI HAV TOTAL
125;ANTI HVA IGG
125;ANTI HVA
125;ANTICORPOS IGG PARA HEPATITE A
125;ANTICORPOS TOTAIS DA HEPATITE A
125;HAV IGG
125;SOROLOGIA PARA HEPATITE A IGG
126;A, ANTICORPOS IGM ANTI VIRUS DA HEPATITE
126;ANTI-HAV + IGM
126;ANTI-HEPATITE A C/PESQUISA DE IGM
126;ANTICORPOS IGM DA HEPATITE TIPO A, PESQUISA
126;HEPATITE A, ANTICORPOS IGM DA
126;IGM HEPATITE A
126;Hepatite A, Anticorpo IgM
126;Anticorpos IgM contra o vírus A da hepatite
126;ANTI HAV IGM
126;ANTI HVA IGM
126;ANTICORPOS IGM PARA HEPATITE A
126;SOROLOGIA PARA HEPATITE A IGM
127;ANTICORPOS ANTI-E DA HEPATITE B
127;Hepatite B, Anticorpo anti E
127;Anticorpos anti-HBe
127;Anticorpos anti-HBeAg
127;AC HBE AG
127;AC HBE
127;ANTI HBE
127;ANTI HBE AG
127;ANTICORPOS ANTI E
127;ANTICORPOS ANTI HBE
127;ANTICORPOS ANTI HBE AG
128;ANTI-AU/ANTICORPOS ANTI SUPERFICIE S
128;Anti-HBs quantitativo
128;ANTI-HBSAG
128;ANTI-S
128;ANTIGENO AUSTRALIA, ANTICORPOS ANTI
128;HEPATITE B, ANTICORPOS ANTI HBSAG
128;SUPERFICIE S, ANTICORPOS ANTI
128;Hepatite B, Anticorpo anti Antígeno Austrália
128;Anticorpos contra o antígeno de superfície do vírus da hepatite B, quantitativo
128;AC AU
128;AC HBS
128;AC HBS AG
128;ANTI AG AU
128;ANTI AU
128;ANTI HBS
128;ANTI HBS AG
128;ANTI HBS QUANTITATVO
128;ANTICORPOS ANTI ANTIGENO AUSTRALIA
128;ANTICORPOS ANTI HBSAG
128;ANTI S
128;ANTICORPOS ANTI SUPERFICIE S
128;Anticorpos totais da hepatite B
129;E, HEPATITE, ANTIC IGG E IGM CONTRA O VIRUS
129;FIGADO, PESQ ANTIC ANTI VURIS DA HEPATITE E
129;HEPATITE E, PESQ ANTIC IGG CONTRA O VIRUS
129;NANB ORAL-FECAL, PESQ DE ANTICORPOS CONTRA O VIRUS
129;VIRUS NANB ENTERICO, PESQUISA DE ANTICORPOS CONTRA
129;Hepatite E, Anticorpos IgG e IgM
129;Anticorpos contra o vírus E da hepatite
130;ALUMINEMIA
130;ALUMINIO NO SANGUE
130;Alumínio no plasma
131;DELTA AMINO LEVULINICO, ACIDO
131;LEVULINICO, ACIDO DELTA AMINO
131;Ácido Delta Amino Levulínico
132;ACETILCOLINA, ANTICORPOS LIGADORES DO RECEPTOR DE
132;MIASTENIA GRAVIS, ANTIC LIG RECEP ACETILCOLINA
132;MIASTENIA GRAVIS, ANTICORPO ANTI PLACA NEURAL
132;MIASTENIA GRAVIS, ANTICORPOS PARA DIAGNOSTICO DA
132;RECEPTOR DE ACETILCOLINA, ANTICORPOS LIGADORES DO
132;RECEPTORES DE ACETILCOLINA, ANTICORPOS LIGADORES
132;Acetilcolina, Ligadores do Receptor, Anticorpos
132;Anticorpos anti receptor colinérgico, para diagnóstico de miastenia gravis
132;Anticorpos anti-receptor nicotínico, para diagnóstico de miastenia gravis
132;ANTICORPOS ANTI ACETILCOLINA, SORO
132;ANTICORPO ANTI PLACA MOTORA
135;ALBUMINA NO SORO, DOSAGEM DE
135;Albumina no soro
141;DERMATO POLIMIOSITES  ALDOLASE
141;DISTROFIA MUSCULAR PROGRESSIVA  ALDOLASE
141;MIOPATIAS  ALDOLASE
141;Aldolase no soro
142;ADDISON, DOENCA DE, ALDOSTERONA
142;CONN, SINDROME, ALDOSTERONA
142;HIPERALDOSTERONISMO, ALDOSTERONA
142;MINERALOCORTICOIDE NO SORO
142;SUPRARRENAL-ADENOMA, ALDOSTERONA
142;Aldosterona
143;CONN, SINDROME, ALDOSTERONA NA URINA
143;HIPERALDOSTERONISMO, ALDOSTERONA NA URINA
143;MINERAROCORTICOIDE NA URINA
143;SUPRARRENAL-ADENOMA, ALDOSTERONA NA URINA
143;Aldosterona na urina
145;ALFA FETOPROTEINA COM CURVA PARA GESTANTE
145;DEFEITO CONGENITO DE TUBO NEURAL, MARCADOR TUMORAL
145;FETOPROTEINA, ALFA
145;MARCADOR TUMORAL, DEFEITO CONGENITO DE TUBO NEURAL
145;TUMORAL, MARCADOR, DEFEITO CONGENITO TUBO NEURAL
145;Alfa Fetoproteína
146;ARTRITE REUMATOIDE, ALFA 1 GLICOPROTEINA
146;GLICOPROTEINA ACIDA, ALFA 1
146;MUCOPROTEINA TIROSINA
146;MUCOPROTEINA-TIROSINA
146;MUCOPROTEINAS, ALFA 1 GLICOPROTEINA ACIDA
146;TIROSINA MUCOPROTEINA
146;TIROSINA-MUCOPROTEINA
146;Alfa 1 Glicoproteína Ácida
146;Mucoproteínas
146;Seromucóide
147;ANTITRIPSINA, ALFA 1, soro
148;DEFEITO CONGENITO DE TUBO NEURAL, ALFA-FT LIQUOR
148;FETOPROTEINA, ALFA, NO LIQUOR
148;LIQUOR, ALFA FETOPROTEINA
148;Alfa Fetoproteína no líquor
148;Marcador tumoral, Alfa fetoproteína, no líquor
150;AL na urina
150;Aluminúria
152;ANTIGENO DA E. HISTOLYTICA NAS FEZES
152;E. HISTOLYTICA NAS FEZES, ANTIGENO DA
152;ENTAMOEBA HISTOLYTICA, FEZES, PESQUISA DO ANTIGENO
152;AMEBA HISTOLYTICA, PESQUISA DO ANTIGENO NAS FEZES
152;Adesina galactose - específica
152;ELISA para Entamoeba histolytica
152;Pesquisa de ameba
152;Entamoeba hystolytica e Entamoeba dispar, diferenciação por ELISA
152;Diferenciação entre E. hystolytica e E. dispar
153;AMEBA HISTOLYTICA EM ABSCESSO HEPÁTICO, ANTIGENO DA
153;E. HISTOLYTICA EM ABSCESSO HEPÁTICO, ANTIGENO DA
