ID;Sigla;Nome;Palavra-chave;Método;Complemento;Região do corpo;Incidência;Material
228;ANTIBPYL;Antibiograma, para Helicobacter pylori, Vários Materiais;Antibiograma;;para Helicobacter pylori;;;
232;ANTILUP;Anticoagulante Lúpico, plasma;Anticoagulante Lúpico;;;;;plasma
234;APOLIPA;Apolipoproteína A-1, soro;Apolipoproteína A-1;;;;;soro
235;APOLIPOB;Apolipoproteína B, soro;Apolipoproteína B;;;;;soro
236;APPCX;Pneumocystis carinii, pesquisa, Vários Materiais;Pneumocystis carinii;;pesquisa;;;
240;ARILA;Arilsulfatase A, sangue total;Arilsulfatase A;;;;;sangue total
247;ARSEN;Arsênico, sangue total;Arsênico;;;;;sangue total
248;ARSENUR;Arsênico, urina;Arsênico;;;;;urina
249;ARTRO;Artrografia;;Artrografia;;;;
254;ASLO;Antiestreptolisina O (ASLO), soro;Antiestreptolisina O (ASLO);;;;;soro
255;ASPERG;Aspergillus, Anticorpos totais, soro;Aspergillus;;Anticorpos totais;;;soro
257;ATIII;Antitrombina III, plasma;Antitrombina III;;;;;plasma
260;NULL;Anticorpos Autoagressão;;;;;;
261;AVHC;Hepatite C, Anticorpos, soro;Hepatite C;;Anticorpos;;;soro
262;AVIDCITO;Citomegalovírus, Avidez de IgG, soro;Citomegalovírus;;Avidez de IgG;;;soro
263;AVIDRUB;Rubéola, Avidez de IgG, soro;Rubéola;;Avidez de IgG;;;soro
264;AVIDTOXO;Toxoplasma gondii, Avidez de IgG, soro;Toxoplasma gondii;;Avidez de IgG;;;soro
265;B2M;Beta-2-Microglobulina, soro;Beta-2-Microglobulina;;;;;soro
266;B2MUR;Beta-2-Microglobulina, urina;Beta-2-Microglobulina;;;;;urina
269;BAAR;Bacilo de Hansen, Vários Materiais;Bacilo de Hansen;;;;;
271;BARBITUR;Barbitúricos, pesquisa, urina;Barbitúricos;;pesquisa;;;urina
273;BENZUR;Benzodiazepínicos, pesquisa, urina;Benzodiazepínicos;;pesquisa;;;urina
274;BERILIO;Berílio, sangue;Berílio;;;;;sangue
275;BHCG;Gonadotrofina Coriônica, soro;Gonadotrofina Coriônica;;;;;soro
276;BHCGLCR;Gonadotrofina Coriônica, líquor;Gonadotrofina Coriônica;;;;;líquor
277;BIC;Bicarbonato, Vários Materiais;Bicarbonato;;;;;
278;BICOL;Biopsia, de Colo uterino;Biopsia;;de Colo uterino;;;
279;BIEND;Biopsia, de Endométrio;Biopsia;;de Endométrio;;;
280;BIHIST;Biopsia, de Endométrio, por Histeroscopia;Biopsia;por Histeroscopia;de Endométrio;;;
281;BILI;Bilirrubinas, soro;Bilirrubinas;;;;;soro
282;BILIURG;Bilirrubinas, plasma;Bilirrubinas;;;;;plasma
283;BILTURG;Bilirrubina Total (Neonatal), plasma;Bilirrubina Total (Neonatal);;;;;plasma
286;BIOMAMUS;Biopsia de mama, dirigida por Ultra-sonografia;Biopsia de mama;dirigida por Ultra-sonografia;;;;
287;BIOPIMG;Biopsia percutânea, orientada por US ou RX;Biopsia percutânea;orientada por US ou RX;;;;
289;BIOPSIOS;Biopsia, Medula Óssea, biópsia de medula óssea;Biopsia;;Medula Óssea;;;biópsia de medula óssea
290;BIOPURET;Biopsia, por Peniscopia;Biopsia;;por Peniscopia;;;
291;BIORETPR;Biopsia transretal, próstata;Biopsia transretal;;;próstata;;
292;BIOTIN;Biotinidase, soro;Biotinidase;;;;;soro
293;BIVAG;Biopsia, de, Vagina;Biopsia;;de;vagina;;
294;BIVUL;Biopsia, de, Vulva;Biopsia;;de;vulva;;
295;BKESCARX;BK, pesquisa, escarro;BK;;pesquisa;;;escarro
296;BKGASTX;BK, pesquisa, lavado gástrico;BK;;pesquisa;;;lavado gástrico
297;BKLAVBRX;BK, pesquisa direta, Vários Materiais;BK;;pesquisa direta;;;
298;BKLCRX;BK, pesquisa, líquor;BK;;pesquisa;;;líquor
299;BKPCR;Mycobacterium tuberculosis, Detecção por PCR, Vários Materiais;Mycobacterium tuberculosis;;Detecção por PCR;;;
300;BKURX;BK, pesquisa, primeira urina da manhã;BK;;pesquisa;;;primeira urina da manhã
301;BKX;BK, pesquisa, Vários Materiais;BK;;pesquisa;;;
303;BLASTO;Paracoccidioidomicose, Anticorpos totais, soro;Paracoccidioidomicose;;Anticorpos totais;;;soro
337;BNCJON;Bence Jones, Proteínas de, urina;Bence Jones;;Proteínas de;;;urina
338;BRO;Broncoscopia;;Broncoscopia;;;;
339;BROMIDIO;Brometo, soro;Brometo;;;;;soro
340;BRONCOBT;Broncoscopia, com biopsia transbronquica;Broncoscopia;;com biopsia transbronquica;;;
343;BRUCEL;Brucella abortus, Anticorpos totais, soro;Brucella abortus;;Anticorpos totais;;;soro
345;BTHIDROX;Beta-Hidroxibutirato, soro;Beta-Hidroxibutirato;;;;;soro
346;C1Q;C1q, Componente do Complemento, soro;C1q;;Componente do Complemento;;;soro
347;C2;C2, Componente do Complemento, soro;C2;;Componente do Complemento;;;soro
348;C3;C3, Componente do Complemento, soro;C3;;Componente do Complemento;;;soro
350;C4;C4, Componente do Complemento, soro;C4;;Componente do Complemento;;;soro
351;C5;C5, Componente do Complemento, soro;C5;;Componente do Complemento;;;soro
352;CA;Cálcio, soro;Cálcio;;;;;soro
353;CA125;CA 125, soro;CA 125;;;;;soro
354;CA153;CA 15-3, soro;CA 15-3;;;;;soro
355;CA199;CA 19-9, soro;CA 19-9;;;;;soro
356;CA724;CA 72-4, soro;CA 72-4;;;;;soro
358;CADMIO;Cádmio, sangue total;Cádmio;;;;;sangue total
359;CADMIOUR;Cádmio, urina;Cádmio;;;;;urina
360;CAFEINA;Cafeína, soro;Cafeína;;;;;soro
362;CAION;Cálcio Ionizado, soro;Cálcio Ionizado;;;;;soro
363;CAIONURG;Cálcio Ionizado, urgente, soro;Cálcio Ionizado;;urgente;;;soro
366;CALCULO;Cálculo Urinário, Análise Química, Cálculo urinário;Cálculo Urinário;;Análise Química;;;Cálculo urinário
367;CANDIDA;Candida albicans, Anticorpos totais, soro;Candida albicans;;Anticorpos totais;;;soro
369;CAPESPER;Processamento Seminal, Prognóstico, Esperma;Processamento Seminal;;Prognóstico;;;Esperma
371;CAPTIR;Cintilografia, e captação da, tiroide;;Cintilografia;e captação da;tiroide;;
372;CARBZ;Carbamazepina, soro;Carbamazepina;;;;;soro
376;CARNI;Carnitina, soro;Carnitina;;;;;soro
378;CATECISO;Catecolaminas, amostra isolada, urina;Catecolaminas;;amostra isolada;;;urina
379;CATECPL;Catecolaminas Livres, plasma;Catecolaminas Livres;;;;;plasma
380;CATECUR;Catecolaminas, urina;Catecolaminas;;;;;urina
381;CAUR;Cálcio, urina;Cálcio;;;;;urina
382;CAURISO;Cálcio, amostra isolada, urina;Cálcio;;amostra isolada;;;urina
387;CAXUM;Caxumba, Anticorpos IgG e IgM, soro;Caxumba;;Anticorpos IgG e IgM;;;soro
388;CBC;CBC, sangue total;CBC;;;;;sangue total
390;CD-19;Linfócitos B, contagem, sangue total;Linfócitos B;;contagem;;;sangue total
391;CD-3;Linfócitos T, totais, sangue total;Linfócitos T;;totais;;;sangue total
393;CD34;CD34, Vários Materiais;CD34;;;;;
394;CD4;Linfócitos CD4, subpopulação, sangue total;Linfócitos CD4;;subpopulação;;;sangue total
395;CD4-8;Linfócitos CD4 e CD8, subpopulação, sangue total;Linfócitos CD4 e CD8, subpopulação;;;;;sangue total
398;NULL;CD4/CD8 e Linfócitos T e B, subpopulação;;;;;;
399;CEA;Antígeno Carcinoembriônico, soro;Antígeno Carcinoembriônico;;;;;soro
400;CEALCR;Antígeno Carcinoembriônico, líquor;Antígeno Carcinoembriônico;;;;;líquor
406;CEREBRO;Cintilografia, Cerebral;;Cintilografia;;cerebral;;
407;CERTALIO;Cintilografia cerebral, com cloreto de Tálio-201;;Cintilografia cerebral;com cloreto de Tálio-201;;;
408;CERULO;Ceruloplasmina, soro;Ceruloplasmina;;;;;soro
409;CETON;Corpos Cetônicos, urina;Corpos Cetônicos;;;;;urina
411;CIANETO;Cianeto, sangue total;Cianeto;;;;;sangue total
412;CICLO;Ciclosporina, sangue total;Ciclosporina;;;;;sangue total
413;CIEND;Citológico, de, Endométrio;Citológico;;de;endométrio;;
414;CINTALIO;Cintilografia do miocárdio, com cloreto de Tálio-201 (Estudo da Viabilidade);;Cintilografia do miocárdio;com cloreto de Tálio-201 (Estudo da Viabilidade);;;
415;CINTMAMA;Cintilografia de mamas, com MIBI marcada com Tecnécio-99m;;Cintilografia de mamas;com MIBI marcada com Tecnécio-99m;;;
416;CINTREN;Cintilografia renal, com DMSA;;Cintilografia renal;com DMSA;;;
417;CISTERNO;Cintilografia, dos Espaços Liquóricos;;Cintilografia;dos Espaços Liquóricos;;;
418;CISTIC;Cisticercose, Anticorpo IgG, soro;Cisticercose;;Anticorpo IgG;;;soro
419;CISTIN;Cistina, dosagem, urina;Cistina;;dosagem;;;urina
421;CISTLCR;Neurocisticercose, Anticorpos, líquor;Neurocisticercose;;Anticorpos;;;líquor
422;CISTOGRA;Cistocintilografia, direta;;Cistocintilografia;direta;;;
423;CITAP;Citológico, Anatomia Patológica, Vários Materiais;Citológico;;Anatomia Patológica;;;
424;CITOIGG;Citomegalovírus, Anticorpo IgG, soro;Citomegalovírus;;Anticorpo IgG;;;soro
425;CITOIGM;Citomegalovírus, Anticorpo IgM, soro;Citomegalovírus;;Anticorpo IgM;;;soro
426;CITOME;Citomegalovírus, Anticorpos IgG e IgM, soro;Citomegalovírus;;Anticorpos IgG e IgM;;;soro
427;CITOMEAG;Citomegalovírus, Antigenemia, sangue total;Citomegalovírus;;Antigenemia;;;sangue total
432;CITOPCR;Citomegalovírus, Detecção Qualitativa do DNA por PCR, Vários Materiais;Citomegalovírus;;Detecção Qualitativa do DNA por PCR;;;
433;CITRATUR;Citrato, urina;Citrato;;;;;urina
435;CKMBURG;Creatinoquinase, Isoenzima MB, massa, plasma;Creatinoquinase, Isoenzima MB;;massa;;;plasma
436;CL;Cloro, soro;Cloro;;;;;soro
438;CLAMDNA;Chlamydia trachomatis, Detecção do DNA por PCR, Vários Materiais;Chlamydia trachomatis;;Detecção do DNA por PCR;;;
439;CLAMID;Chlamydia trachomatis, Anticorpo IgG, soro;Chlamydia trachomatis;;Anticorpo IgG;;;soro
442;CLOMIPRAM;Clomipramina, dosagem, soro;Clomipramina;;dosagem;;;soro
443;CLONAZEP;Clonazepam, dosagem, soro;Clonazepam;;dosagem;;;soro
444;CLORDIAZ;Clordiazepóxido e Metabólitos, dosagem, soro;Clordiazepóxido e Metabólitos;;dosagem;;;soro
445;CLOSTRD;Clostridium difficile, pesquisa de toxinas A e B, fezes;Clostridium difficile;;pesquisa de toxinas A e B;;;fezes
448;CLSUOR;Fibrose cística, teste de triagem para, Suor;Fibrose cística;;teste de triagem para;;;Suor
449;CLUR;Cloreto, dosagem, urina;Cloreto;;dosagem;;;urina
454;COBALTO;Cobalto, sangue total;Cobalto;;;;;sangue total
456;COBRE;Cobre, plasma;Cobre;;;;;plasma
457;COBREUR;Cobre, urina;Cobre;;;;;urina
458;COCANUR;Cocaína, pesquisa, urina;Cocaína;;pesquisa;;;urina
459;COCASG;Cocaína, dosagem, sangue total;Cocaína;;dosagem;;;sangue total
464;COLEST;Colesterol, soro;Colesterol;;;;;soro
469;COLI;Coli Patogênico, pesquisa, fezes;Coli Patogênico;;pesquisa;;;fezes
470;COLINE;Colinesterase, soro;Colinesterase;;;;;soro
471;COLON;Colonoscopia;;Colonoscopia;;;;
472;COLONPOL;Polipectomia, de Colon;Polipectomia;;de Colon;;;
473;COLPOH1C;Colpocitologia Hormonal, 1 coleta, material vaginal e colo uterino;Colpocitologia Hormonal;;1 coleta;;;material vaginal e colo uterino
474;COLPOHS;Colpocitologia Hormonal, seriada, Vários Materiais;Colpocitologia Hormonal;;seriada;;;
475;COLPONCO;Colpocitologia Oncótica, material vaginal e colo uterino;Colpocitologia Oncótica;;;;;material vaginal e colo uterino
476;COLPOSC;Colposcopia,;Colposcopia;;;;;
477;COLPRINT;Imprint de Biópsia, de, Medula óssea;Imprint de Biópsia;;de;medula óssea;;
478;COMPLE;Complemento, total, soro;Complemento;;total;;;soro
483;CONSIMG1;Consultoria em Diagnóstico por Imagem 1;Consultoria em Diagnóstico por Imagem 1;;;;;
484;CONSIMG2;Consultoria em Diagnóstico por Imagem 2;Consultoria em Diagnóstico por Imagem 2;;;;;
485;CONSIMG3;Consultoria em Diagnóstico por Imagem 3;Consultoria em Diagnóstico por Imagem 3;;;;;
490;CONTESP;Espermatozóides, contagem, esperma;Espermatozóides;;contagem;;;esperma
495;CONTLHEP;Hemácias e Leucócitos, contagem, esperma;Hemácias e Leucócitos;;contagem;;;esperma
502;COOMBSD;Coombs, direto, sangue total;Coombs;;direto;;;sangue total
506;COPRO;Coprológico, fezes;Coprológico;;;;;fezes
509;COROSSEA;Composição corporal, para adulto;;Composição corporal;para adulto;;;
510;CORPINT;Cintilografia, com Iodo - 131, de Corpo Inteiro;;Cintilografia;com Iodo - 131;de corpo inteiro;;
511;CORT;Cortisol, soro;Cortisol;;;;;soro
512;CORT16;Cortisol, amostra das 16 horas, soro;Cortisol;;amostra das 16 horas;;;soro
513;CORT8;Cortisol, amostra das 8 horas, soro;Cortisol;;amostra das 8 horas;;;soro
514;CORTDEX;Cortisol, após dexametasona, soro;Cortisol;;após dexametasona;;;soro
515;CORTHPLC;Cortisol, por HPLC, soro;Cortisol;;por HPLC;;;soro
517;CORTLUR;Cortisol, livre, urina;Cortisol;;livre;;;urina
518;COTININA;Cotinina, soro;Cotinina;;;;;soro
519;COTINUR;Cotinina, urina;Cotinina;;;;;urina
520;CPK;Creatinoquinase (CK), total, soro;Creatinoquinase (CK);;total;;;soro
521;CPKURG;Creatinoquinase, plasma;Creatinoquinase;;;;;plasma
522;CPU;Capilaroscopia, periungueal;;Capilaroscopia;periungueal;;;
525;CREAT;Creatinina, soro;Creatinina;;;;;soro
527;CREATISO;Creatinina, amostra isolada, urina;Creatinina;;amostra isolada;;;urina
528;CREATUR;Creatinina, urina;Creatinina;;;;;urina
529;CREATURG;Creatinina, plasma;Creatinina;;;;;plasma
532;CRIOAGLU;Crioaglutininas, soro;Crioaglutininas;;;;;soro
533;CRIOGLOB;Crioglobulinas, soro;Crioglobulinas;;;;;soro
538;CROMACUR;Carbohidratos, Cromatografia, urina;Carbohidratos;;Cromatografia;;;urina
539;CROMO;Cromo, plasma;Cromo;;;;;plasma
540;CROMUR;Cromo, urina;Cromo;;;;;urina
541;CRYPLCR;Cryptococcus neoformans, Antígeno solúvel, líquor;Cryptococcus neoformans;;Antígeno solúvel;;;líquor
543;CRYPTOAG;Cryptosporidium, Antígeno, fezes;Cryptosporidium;;Antígeno;;;fezes
547;CTCONJ;Citológico, conjuntival, Vários Materiais;Citológico;;conjuntival;;;
549;CTESPER;Citológico, esperma;Citológico;;;;;esperma
552;CTLESAO;Citológico, lesão;Citológico;;;;;lesão
554;CTNASAL;Citológico, nasal;Citológico;;;;;nasal
556;CTORO;Citológico, raspado de orofaringe;Citológico;;;;;raspado de orofaringe
560;CTPUNC;Citológico, de Punção de Nódulo, Vários Materiais;Citológico;;de Punção de Nódulo;;;
561;CTSINOV;Citológico, líquido sinovial;Citológico;;;;;líquido sinovial
572;DACRIO;Dacriocistografia;;Dacriocistografia;;;;
575;DEFECOG1;Defecograma, para adulto;;Defecograma;para adulto;;;
576;DEFECOG2;Defecograma, para criança;;Defecograma;para criança;;;
577;DELTAC;Hepatite D, Anticorpos totais contra Antígeno, soro;Hepatite D;;Anticorpos totais contra Antígeno;;;soro
579;DENGUEG;Dengue, Anticorpo IgG, soro;Dengue;;Anticorpo IgG;;;soro
580;DENGUEM;Dengue, Anticorpo IgM, soro;Dengue;;Anticorpo IgM;;;soro
581;DENOSSEA;Densitometria óssea, de coluna lombar e fêmur;;Densitometria óssea;;de coluna lombar e fêmur;;
582;DENS;Densidade, urina;Densidade;;;;;urina
583;DENSINF;Densitometria óssea, Infantil;;Densitometria óssea;Infantil;;;
584;DEPACUR;Ácido Úrico, Depuração, soro e urina;Ácido Úrico;;Depuração;;;soro e urina
585;DEPCREAT;Creatinina, Depuração, soro e urina;Creatinina;;Depuração;;;soro e urina
586;DEPP;Fósforo, Reabsorção Tubular, soro e urina;Fósforo;;Reabsorção Tubular;;;soro e urina
